analysis_label,method_name,display_name,reject_fraction_target,reject_fraction_actual_mean,retained_count_mean,retained_accuracy_mean,retained_balanced_accuracy_mean,retained_front_first_accuracy_mean,retained_rear_first_accuracy_mean,retained_truth_front_first_count_mean,retained_truth_rear_first_count_mean,retained_correct_front_first_count_mean,retained_correct_rear_first_count_mean
center_contrast2e9,center_geometry,center_contrast2e9 / center_geometry,0,0,337207.2,0.78106086228216,0.772909300557916,0.810148650895523,0.735669950220309,205509.4,131697.8,166493.2,96886.2
center_contrast2e9,center_geometry,center_contrast2e9 / center_geometry,0.05,0.049998339112409,320347.4,0.795327065025023,0.786858448122613,0.822409531293938,0.751307364951288,198327.4,122020,163106.4,91674.6
center_contrast2e9,center_geometry,center_contrast2e9 / center_geometry,0.1,0.0999990509267332,303486.8,0.809737124027991,0.800148740121127,0.837006289418329,0.763291190823925,191217.6,112269.2,160050.4,85694.2
center_contrast2e9,center_geometry,center_contrast2e9 / center_geometry,0.2,0.199998694939858,269766.2,0.840761949672094,0.82491573339018,0.87552352805848,0.77430793872188,177116.6,92649.6,155069.8,71739.4
center_contrast2e9,center_geometry,center_contrast2e9 / center_geometry,0.3,0.299998338952983,236045.6,0.878343790895737,0.849843802804895,0.924867606831959,0.77481999877783,162856.8,73188.8,150621,56708.2
center_contrast2e9,center_geometry,center_contrast2e9 / center_geometry,0.4,0.399998576802679,202324.8,0.91927330477943,0.876447683626484,0.96584726155683,0.787048105696137,149622.4,52702.4,144512.4,41479.4
