response,factor_set,observed_total,expected_total,geant4_over_matrix_total,absolute_total_relative_error,relative_l2_after_total_scaling,relative_l2_over_poisson,total_variation,shape_correlation
A218,baseline,1152908183.0,1159114374.8584268,0.9946457467933785,0.005354253206621529,0.0072759056454341844,3.096294872249791,0.0031707879216477833,0.9999755309238058
A218,candidate,1152908183.0,1152908193.4374375,0.9999999909468615,9.053138461112553e-09,0.0034823932595901426,1.487341892061683,0.0017073156278279169,0.9999847593054767
A440,baseline,305626601.0,304962713.2685339,1.0021769472220086,0.002176947222008563,0.010593288531765119,2.0623027149376707,0.003570016883771312,0.9998287136981316
A440,candidate,305626601.0,305626609.61032224,0.9999999718273149,2.8172685073712955e-08,0.005621953286567551,1.0975161972864103,0.0024741256215336173,0.9999330272738511
C440to218,baseline,215766800.0,213382825.97365922,1.0111722863143404,0.011172286314340418,0.011404159885288243,1.7233015652141814,0.004149415255907935,0.9993485627245329
C440to218,candidate,215766800.0,215766807.0161922,0.999999967482523,3.2517477044358145e-08,0.010619093704790876,1.604135344446708,0.003956021484274166,0.9994333163044676
