response,factor_set,observed_total,expected_total,geant4_over_matrix_total,absolute_total_relative_error,relative_l2_after_total_scaling,relative_l2_over_poisson,total_variation,shape_correlation
A218,baseline,1152908183.0,1158226111.8709605,0.9954085572614401,0.0045914427385599366,0.008214172798399574,3.494180723475741,0.0035678497407925173,0.999967074326989
A218,candidate,1152908183.0,1159114374.8584268,0.9946457467933785,0.005354253206621529,0.0072759056454341844,3.096294872249791,0.0031707879216477833,0.9999755309238058
A440,baseline,305626601.0,304908048.5210466,1.0023566202415408,0.002356620241540819,0.011077725248702609,2.155658326146537,0.0037519834284180345,0.9998302089488323
A440,candidate,305626601.0,304962713.2685339,1.0021769472220086,0.002176947222008563,0.010593288531765119,2.0623027149376707,0.003570016883771312,0.9998287136981316
C440to218,baseline,215766800.0,213386724.33811432,1.011153813196525,0.011153813196524975,0.012001837067950591,1.8130722286665997,0.0044124757368235,0.9992755689625028
C440to218,candidate,215766800.0,213382825.97365922,1.0111722863143404,0.011172286314340418,0.011404159885288243,1.7233015652141814,0.004149415255907935,0.9993485627245329
