response,factor_set,observed_total,expected_total,geant4_over_matrix_total,absolute_total_relative_error,relative_l2_after_total_scaling,relative_l2_over_poisson,total_variation,shape_correlation
A218,baseline,1152908183.0,1154080830.8487666,0.9989839118565862,0.001016088143413807,0.007149592861766606,3.042810949652275,0.003189467301163794,0.999975789386776
A218,candidate,1152908183.0,1158226111.8709605,0.9954085572614401,0.0045914427385599366,0.008214172798399574,3.494180723475741,0.0035678497407925173,0.999967074326989
A440,baseline,305626601.0,305016084.91667837,1.002001586517932,0.0020015865179319192,0.010495635080629583,2.0429203090776085,0.003519883317969531,0.9998424687538646
A440,candidate,305626601.0,304908048.5210466,1.0023566202415408,0.002356620241540819,0.011077725248702609,2.155658326146537,0.0037519834284180345,0.9998302089488323
C440to218,baseline,215766800.0,213163498.02571407,1.0122127005720833,0.012212700572083346,0.011693131012095865,1.7665727045549031,0.004276324410701037,0.9993122012648326
C440to218,candidate,215766800.0,213386724.33811432,1.011153813196525,0.011153813196524975,0.012001837067950591,1.8130722286665997,0.0044124757368235,0.9992755689625028
