response,factor_set,observed_total,expected_total,geant4_over_matrix_total,absolute_total_relative_error,relative_l2_after_total_scaling,relative_l2_over_poisson,total_variation,shape_correlation
A218,baseline,1152908183.0,1154080830.8487666,0.9989839118565862,0.001016088143413807,0.007149592861766606,3.042810949652275,0.003189467301163794,0.999975789386776
A218,candidate,1152908183.0,1159114374.8584268,0.9946457467933785,0.005354253206621529,0.0072759056454341844,3.096294872249791,0.0031707879216477833,0.9999755309238058
A440,baseline,305626601.0,305016084.91667837,1.002001586517932,0.0020015865179319192,0.010495635080629583,2.0429203090776085,0.003519883317969531,0.9998424687538646
A440,candidate,305626601.0,304962713.2685339,1.0021769472220086,0.002176947222008563,0.010593288531765119,2.0623027149376707,0.003570016883771312,0.9998287136981316
C440to218,baseline,215766800.0,213163498.02571407,1.0122127005720833,0.012212700572083346,0.011693131012095865,1.7665727045549031,0.004276324410701037,0.9993122012648326
C440to218,candidate,215766800.0,213382825.97365922,1.0111722863143404,0.011172286314340418,0.011404159885288243,1.7233015652141814,0.004149415255907935,0.9993485627245329
