1,-132.3,200,-56.7
2,-132.3,200,-48.3
3,-132.3,200,-44.1
4,-132.3,200,-39.9
5,-132.3,200,-31.5
6,-132.3,200,6.3
7,-132.3,200,23.1
8,-132.3,200,39.9
9,-132.3,200,44.1
10,-128.1,200,-56.7
11,-128.1,200,-48.3
12,-128.1,200,-27.3
13,-128.1,200,31.5
14,-128.1,200,39.9
15,-123.9,200,-31.5
16,-123.9,200,-18.9
17,-123.9,200,18.9
18,-123.9,200,23.1
19,-123.9,200,35.7
20,-123.9,200,60.9
21,-119.7,200,-48.3
22,-119.7,200,-27.3
23,-119.7,200,-10.5
24,-119.7,200,-6.3
25,-119.7,200,-2.1
26,-119.7,200,2.1
27,-119.7,200,10.5
28,-119.7,200,18.9
29,-119.7,200,27.3
30,-119.7,200,39.9
31,-119.7,200,44.1
32,-119.7,200,52.5
33,-119.7,200,56.7
34,-119.7,200,60.9
35,-115.5,200,-56.7
36,-115.5,200,-27.3
37,-115.5,200,-18.9
38,-115.5,200,-14.7
39,-115.5,200,-6.3
40,-111.3,200,-27.3
41,-111.3,200,-14.7
42,-111.3,200,-6.3
43,-111.3,200,-2.1
44,-111.3,200,2.1
45,-111.3,200,10.5
46,-111.3,200,14.7
47,-111.3,200,18.9
48,-111.3,200,23.1
49,-111.3,200,27.3
50,-111.3,200,35.7
51,-107.1,200,-48.3
52,-107.1,200,-44.1
53,-107.1,200,-6.3
54,-107.1,200,10.5
55,-107.1,200,23.1
56,-107.1,200,27.3
57,-107.1,200,56.7
58,-102.9,200,-56.7
59,-102.9,200,-52.5
60,-102.9,200,-35.7
61,-102.9,200,-31.5
62,-102.9,200,-2.1
63,-102.9,200,31.5
64,-102.9,200,52.5
65,-98.7,200,-35.7
66,-98.7,200,-27.3
67,-98.7,200,-18.9
68,-98.7,200,-10.5
69,-98.7,200,-2.1
70,-98.7,200,2.1
71,-98.7,200,23.1
72,-98.7,200,48.3
73,-94.5,200,-52.5
74,-94.5,200,2.1
75,-94.5,200,10.5
76,-94.5,200,35.7
77,-94.5,200,39.9
78,-94.5,200,44.1
79,-90.3,200,-65.1
80,-90.3,200,-52.5
81,-90.3,200,-48.3
82,-90.3,200,-44.1
83,-90.3,200,-35.7
84,-90.3,200,-31.5
85,-90.3,200,-23.1
86,-90.3,200,-18.9
87,-90.3,200,-2.1
88,-90.3,200,2.1
89,-90.3,200,52.5
90,-86.1,200,-18.9
91,-86.1,200,-14.7
92,-86.1,200,14.7
93,-86.1,200,18.9
94,-86.1,200,35.7
95,-86.1,200,48.3
96,-86.1,200,52.5
97,-86.1,200,56.7
98,-81.9,200,-56.7
99,-81.9,200,-52.5
100,-81.9,200,-48.3
101,-81.9,200,-35.7
102,-81.9,200,-27.3
103,-81.9,200,6.3
104,-81.9,200,23.1
105,-81.9,200,27.3
106,-81.9,200,44.1
107,-81.9,200,48.3
108,-81.9,200,52.5
